Cement (Kg/m³),Water (Kg/m³),W/C ,W/Binder,Sand (Kg/m³),Gravel (Kg/m³),Superplasticizer (kg/m³), GGBS Kg/m³,Age (days),C-S (Mpa)
332.5,228,0.69,0.48,594,932,0,142.5,270,40.27
332.5,228,0.69,0.48,594,932,0,142.5,365,41.05
198.6,192,0.97,0.58,825.5,978.4,0,132.4,360,44.3
266,228,0.86,0.6,670,932,0,114,90,47.03
380,228,0.6,0.48,594,932,0,95,365,43.7
380,228,0.6,0.48,594,932,0,95,28,36.45
266,228,0.86,0.6,670,932,0,114,28,45.85
198.6,192,0.97,0.58,825.5,978.4,0,132.4,90,38.07
198.6,192,0.97,0.58,825.5,978.4,0,132.4,28,28.02
427.5,228,0.53,0.48,594,932,0,47.5,270,43.01
190,228,1.2,0.6,670,932,0,190,90,42.33
304,228,0.75,0.6,670,932,0,76,28,47.81
139.6,192,1.38,0.55,806.9,1047,0,209.4,90,39.36
342,228,0.67,0.6,670,932,0,38,365,56.14
380,228,0.6,0.48,594,932,0,95,90,40.56
427.5,228,0.53,0.48,594,932,0,47.5,180,41.84
139.6,192,1.38,0.55,806.9,1047,0,209.4,28,28.24
139.6,192,1.38,0.55,806.9,1047,0,209.4,3,8.06
139.6,192,1.38,0.55,806.9,1047,0,209.4,180,44.21
380,228,0.6,0.48,594,932,0,95,270,41.15
342,228,0.67,0.6,670,932,0,38,180,52.12
427.5,228,0.53,0.48,594,932,0,47.5,28,37.43
304,228,0.75,0.6,670,932,0,76,365,55.26
266,228,0.86,0.6,670,932,0,114,365,52.91
198.6,192,0.97,0.58,825.5,978.4,0,132.4,180,41.72
190,228,1.2,0.6,670,932,0,190,365,53.69
237.5,228,0.96,0.48,594,932,0,237.5,270,38.41
237.5,228,0.96,0.48,594,932,0,237.5,28,30.08
332.5,228,0.69,0.48,594,932,0,142.5,90,37.72
237.5,228,0.96,0.48,594,932,0,237.5,180,36.25
342,228,0.67,0.6,670,932,0,38,90,50.46
427.5,228,0.53,0.48,594,932,0,47.5,365,43.7
237.5,228,0.96,0.48,594,932,0,237.5,365,39
427.5,228,0.53,0.48,594,932,0,47.5,90,41.54
427.5,228,0.53,0.48,594,932,0,47.5,7,35.08
380,228,0.6,0.48,594,932,0,95,180,40.76
237.5,228,0.96,0.48,594,932,0,237.5,7,26.26
380,228,0.6,0.48,594,932,0,95,7,32.82
332.5,228,0.69,0.48,594,932,0,142.5,180,39.78
190,228,1.2,0.6,670,932,0,190,180,46.93
237.5,228,0.96,0.48,594,932,0,237.5,90,33.12
304,228,0.75,0.6,670,932,0,76,90,49.19
139.6,192,1.38,0.55,806.9,1047,0,209.4,7,14.59
198.6,192,0.97,0.58,825.5,978.4,0,132.4,7,14.64
198.6,192,0.97,0.58,825.5,978.4,0,132.4,3,9.13
304,228,0.75,0.6,670,932,0,76,180,50.95
332.5,228,0.69,0.48,594,932,0,142.5,28,33.02
304,228,0.75,0.6,670,932,0,76,270,54.38
266,228,0.86,0.6,670,932,0,114,270,51.73
190,228,1.2,0.6,670,932,0,190,270,50.66
266,228,0.86,0.6,670,932,0,114,180,48.7
342,228,0.67,0.6,670,932,0,38,270,55.06
139.6,192,1.38,0.55,806.9,1047,0,209.4,360,44.7
332.5,228,0.69,0.48,594,932,0,142.5,7,30.28
190,228,1.2,0.6,670,932,0,190,28,40.86
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,3,34.4
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,3,28.8
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,3,33.4
425,151.4,0.36,0.28,803.7,936,18.6,106.3,3,36.3
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,3,29
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,3,37.8
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,3,40.2
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,3,28.1
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,3,25.2
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,3,41.1
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,3,35.3
323.7,183.8,0.57,0.3,659.9,942.7,10.3,282.8,3,28.3
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,3,28.6
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,3,24.4
439,186,0.42,0.3,707.9,884.9,11.1,177,3,39.3
389.9,145.9,0.37,0.25,755.8,944.7,22,189,3,40.6
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,3,24.1
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,7,46.2
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,7,42.8
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,7,49.2
425,151.4,0.36,0.28,803.7,936,18.6,106.3,7,46.8
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,7,45.7
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,7,55.6
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,7,54.9
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,7,34.9
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,7,33.4
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,7,54.1
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,7,55.9
323.7,183.8,0.57,0.3,659.9,942.7,10.3,282.8,7,49.8
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,7,47.1
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,7,38
439,186,0.42,0.3,707.9,884.9,11.1,177,7,56.1
389.9,145.9,0.37,0.25,755.8,944.7,22,189,7,59.09
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,7,22.9
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,7,35.1
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,28,61.09
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,28,59.8
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,28,60.29
425,151.4,0.36,0.28,803.7,936,18.6,106.3,28,61.8
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,28,56.7
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,28,68.3
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,28,66.9
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,28,50.7
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,28,55.5
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,28,68.5
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,28,71.3
323.7,183.8,0.57,0.3,659.9,942.7,10.3,282.8,28,74.7
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,28,52.2
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,28,67.7
439,186,0.42,0.3,707.9,884.9,11.1,177,28,66
389.9,145.9,0.37,0.25,755.8,944.7,22,189,28,74.5
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,28,49.9
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,56,63.4
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,56,64.9
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,56,64.3
425,151.4,0.36,0.28,803.7,936,18.6,106.3,56,64.9
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,56,60.2
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,56,72.3
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,56,69.3
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,56,55.2
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,56,66.1
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,56,73.7
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,56,77.3
323.7,183.8,0.57,0.3,659.9,942.7,10.3,282.8,56,80.2
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,56,54.9
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,56,72.99
439,186,0.42,0.3,707.9,884.9,11.1,177,56,71.7
389.9,145.9,0.37,0.25,755.8,944.7,22,189,56,79.4
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,56,59.89
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,91,64.9
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,91,66.6
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,91,65.2
425,151.4,0.36,0.28,803.7,936,18.6,106.3,91,66.7
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,91,62.5
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,91,74.19
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,91,70.7
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,91,57.6
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,91,68.1
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,91,75.5
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,91,79.3
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,91,56.5
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,91,76.8
439,186,0.42,0.3,707.9,884.9,11.1,177,91,73.3
389.9,145.9,0.37,0.25,755.8,944.7,22,189,91,82.6
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,91,67.8
315,145,0.46,0.32,745,1130,5.9,137,28,81.75
450.1,200,0.44,0.4,613.2,1124.4,3,50,28,39.38
200,190,0.95,0.48,660,1145,0,200,28,49.25
234,189,0.81,0.48,760,981,5.85,156,28,39.3
285,163,0.57,0.34,685,1031,7.6,190,28,53.58
356,160,0.45,0.34,657,1061,9.03,119,28,59
158.8,185.7,1.17,0.47,734.3,1040.6,0,238.2,7,9.62
239.6,185.7,0.78,0.31,664.3,941.6,0,359.4,7,25.42
238.2,185.7,0.78,0.47,734.3,1040.6,0,158.8,7,15.69
181.9,185.7,1.02,0.41,714.3,1012.4,0,272.8,28,27.94
193.5,185.7,0.96,0.38,704.3,998.2,0,290.2,28,32.63
255.5,185.7,0.73,0.44,724.3,1026.6,0,170.3,7,17.24
272.8,185.7,0.68,0.41,714.3,1012.4,0,181.9,7,19.77
239.6,185.7,0.78,0.31,664.3,941.6,0,359.4,28,39.44
220.8,185.7,0.84,0.5,744.3,1055,0,147.2,28,25.75
210.7,185.7,0.88,0.35,689.3,977,0,316.1,7,21.82
158.8,185.7,1.17,0.47,734.3,1040.6,0,238.2,28,21.07
255.5,185.7,0.73,0.44,724.3,1026.6,0,170.3,28,32.05
203.5,185.7,0.91,0.55,759.3,1076.2,0,135.7,7,11.96
228,185.7,0.81,0.33,674.3,955.8,0,342.1,28,39.7
220.8,185.7,0.84,0.5,744.3,1055,0,147.2,7,13.09
316.1,185.7,0.59,0.35,689.3,977,0,210.7,28,38.7
135.7,185.7,1.37,0.55,759.3,1076.2,0,203.5,7,7.51
135.7,185.7,1.37,0.55,759.3,1076.2,0,203.5,28,18.2
193.5,185.7,0.96,0.38,704.3,998.2,0,290.2,7,17.2
203.5,185.7,0.91,0.55,759.3,1076.2,0,135.7,28,22.63
290.2,185.7,0.64,0.38,704.3,998.2,0,193.5,7,21.86
181.9,185.7,1.02,0.41,714.3,1012.4,0,272.8,7,12.37
170.3,185.7,1.09,0.57,724.3,1026.6,0,155.5,28,25.73
210.7,185.7,0.88,0.35,689.3,977,0,316.1,28,37.81
228,185.7,0.81,0.33,674.3,955.8,0,342.1,7,21.92
290.2,185.7,0.64,0.38,704.3,998.2,0,193.5,28,33.04
238.2,185.7,0.78,0.47,734.3,1040.6,0,158.8,28,26.91
186.2,185.7,1,0.6,764.3,1083.4,0,124.1,7,8
316.1,185.7,0.59,0.35,689.3,977,0,210.7,7,24.44
