No.,Matrix strength (MPa),Fiber type 1,Fiber type 2,Fiber index,"Tensile strength of fiber 1 (MPa)
","Tensile strength of fiber 2 (MPa)
",Width of specimen (mm),Thickness of specimen (mm),Gauge length (mm),Crack number (ea),Strain capacity (%)
1,200,Hooked,No fiber,0.8,1891,0,50,100,175,20,0.272
2,200,Twisted,No fiber,1,2428,0,50,100,175,32,0.303
3,190.2,Smooth,No fiber,2,2580,0,30,13,80,18,0.803
4,190.2,Hooked,No fiber,1.6,2900,0,30,13,80,15,0.741
5,190.2,Twisted,No fiber,2,2428,0,30,13,80,19,0.79
6,76,Hooked,No fiber,1.6,2311,0,50,25,175,18,0.451
7,89,Hooked,No fiber,1.6,2311,0,50,25,175,32,0.403
8,103,Hooked,No fiber,1.6,2311,0,50,25,175,34,0.422
9,120,Hooked,No fiber,1.6,2311,0,50,25,175,42,0.546
10,76,Twisted,No fiber,2,2428,0,50,25,175,23,0.411
11,89,Twisted,No fiber,2,2428,0,50,25,175,25,0.414
12,103,Twisted,No fiber,2,2428,0,50,25,175,37,0.503
13,120,Twisted,No fiber,2,2428,0,50,25,175,43,0.532
14,150,Twisted,No fiber,0.833333333,2670,0,25,25,76,7,0.19
15,150,Twisted,No fiber,1.666666667,2670,0,25,25,76,13,0.42
16,150,Twisted,No fiber,2.5,2670,0,25,25,76,13,0.48
17,150,Smooth,No fiber,1.25,2860,0,25,25,76,9,0.33
18,150,Smooth,No fiber,2.5,2860,0,25,25,76,13,0.55
19,150,Smooth,No fiber,1.25,1850,0,25,25,76,8,0.27
20,150,Smooth,No fiber,1.875,1850,0,25,25,76,10,0.24
21,150,Smooth,No fiber,1.2,2330,0,25,25,76,7,0.17
22,150,Twisted,No fiber,1.2,2330,0,25,25,76,7,0.27
23,89,Twisted,No fiber,0.5,2428,0,50,25,100,3,0.36
24,89,Twisted,No fiber,1,2428,0,50,25,100,6,0.42
25,89,Twisted,No fiber,1,2428,0,50,25,100,8,0.58
26,89,Twisted,No fiber,1,2428,0,50,25,100,8,0.58
27,89,Twisted,No fiber,1.5,2428,0,50,25,100,9,0.54
28,89,Twisted,No fiber,1.5,2428,0,50,25,100,12,0.48
29,89,Twisted,No fiber,1.5,2428,0,50,25,100,11,0.47
30,89,Twisted,No fiber,2,2428,0,50,25,100,14,0.57
31,89,Twisted,No fiber,2,2428,0,50,25,100,19,0.54
32,89,Twisted,No fiber,2,2428,0,50,25,100,17,0.55
33,28,Hooked,No fiber,0.789473684,2300,0,50.8,25.4,177.8,22,0.372
34,28,Hooked,No fiber,1.578947368,2300,0,50.8,25.4,177.8,32,0.443
35,28,Twisted,No fiber,1,2760,0,50.8,25.4,177.8,32,0.351
36,28,Twisted,No fiber,2,2760,0,50.8,25.4,177.8,46,0.331
37,56,Hooked,No fiber,0.789473684,2300,0,50.8,25.4,177.8,5,0.386
38,56,Hooked,No fiber,1.578947368,2300,0,50.8,25.4,177.8,16,0.483
39,56,Twisted,No fiber,1,2760,0,50.8,25.4,177.8,17,0.397
40,56,Twisted,No fiber,1,2760,0,50.8,25.4,177.8,47,0.523
41,84,Twisted,No fiber,2,2760,0,50.8,25.4,177.8,15,0.301
42,84,Hooked,No fiber,0.789473684,2300,0,50.8,25.4,177.8,27,0.387
43,60.96,Hooked,No fiber,1.2,1140,0,50,25,100,7,0.33
44,81,Hooked,No fiber,0.8,2311,0,50,25,100,6,0.5
45,81,Twisted,No fiber,1,2428,0,50,25,100,7,0.4
46,180,Twisted,No fiber,1.5,2428,0,50,25,100,21,0.45
47,180,Twisted,No fiber,1.5,2428,0,50,25,100,17,0.58
48,180,Twisted,No fiber,1.5,2428,0,50,25,100,20,0.64
49,180,Twisted,No fiber,1.5,2428,0,50,25,100,15,0.43
50,180,Twisted,No fiber,1.5,2428,0,50,25,100,16,0.54
51,180,Twisted,No fiber,1.5,2428,0,50,25,100,22,0.64
52,180,Twisted,No fiber,1.5,2428,0,25,25,100,19,0.59
53,180,Twisted,No fiber,1.5,2428,0,25,25,100,21,0.73
54,180,Twisted,No fiber,1.5,2428,0,25,25,100,16,0.6
55,180,Twisted,No fiber,1.5,2428,0,25,25,100,20,0.42
56,180,Twisted,No fiber,1.5,2428,0,25,25,100,20,0.84
57,180,Twisted,No fiber,1.5,2428,0,25,25,100,23,0.43
58,180,Smooth,No fiber,1.425,2580,0,50,25,100,12,0.49
59,180,Smooth,No fiber,1.425,2580,0,50,25,100,11,0.47
60,180,Smooth,No fiber,1.425,2580,0,50,25,100,10,0.61
