Matrix strength (MPa),Fiber type 1,Fiber type 2,Fiber index,Tensile strength of fiber 1 (MPa),Tensile strength of fiber 2 (MPa),Width of specimen (mm),Thickness of specimen (mm),Gauge length (mm),Crack spacing (mm)
200,Hooked,No fiber,0.8,1891,0,50,100,175,8.75
200,Twisted,No fiber,1,2428,0,50,100,175,5.46875
190.2,Smooth,No fiber,2,2580,0,30,13,80,4.444444444
190.2,Hooked,No fiber,1.6,2900,0,30,13,80,5.333333333
190.2,Twisted,No fiber,2,2428,0,30,13,80,4.210526316
76,Hooked,No fiber,1.6,2311,0,50,25,175,9.722222222
89,Hooked,No fiber,1.6,2311,0,50,25,175,5.46875
103,Hooked,No fiber,1.6,2311,0,50,25,175,5.147058824
120,Hooked,No fiber,1.6,2311,0,50,25,175,4.166666667
76,Twisted,No fiber,2,2428,0,50,25,175,7.608695652
89,Twisted,No fiber,2,2428,0,50,25,175,7
103,Twisted,No fiber,2,2428,0,50,25,175,4.72972973
120,Twisted,No fiber,2,2428,0,50,25,175,4.069767442
150,Twisted,No fiber,0.833333333,2670,0,25,25,76,10.85714286
150,Twisted,No fiber,1.666666667,2670,0,25,25,76,5.846153846
150,Twisted,No fiber,2.5,2670,0,25,25,76,5.846153846
150,Smooth,No fiber,1.25,2860,0,25,25,76,8.444444444
150,Smooth,No fiber,2.5,2860,0,25,25,76,5.846153846
150,Smooth,No fiber,1.25,1850,0,25,25,76,9.5
150,Smooth,No fiber,1.875,1850,0,25,25,76,7.6
150,Smooth,No fiber,1.2,2330,0,25,25,76,10.85714286
150,Twisted,No fiber,1.2,2330,0,25,25,76,10.85714286
89,Twisted,No fiber,0.5,2428,0,50,25,100,33.33333333
89,Twisted,No fiber,1,2428,0,50,25,100,16.66666667
89,Twisted,No fiber,1,2428,0,50,25,100,12.5
89,Twisted,No fiber,1,2428,0,50,25,100,12.5
89,Twisted,No fiber,1.5,2428,0,50,25,100,11.11111111
89,Twisted,No fiber,1.5,2428,0,50,25,100,8.333333333
89,Twisted,No fiber,1.5,2428,0,50,25,100,9.090909091
89,Twisted,No fiber,2,2428,0,50,25,100,7.142857143
89,Twisted,No fiber,2,2428,0,50,25,100,5.263157895
89,Twisted,No fiber,2,2428,0,50,25,100,5.882352941
28,Hooked,No fiber,0.789473684,2300,0,50.8,25.4,177.8,8.081818182
28,Hooked,No fiber,1.578947368,2300,0,50.8,25.4,177.8,5.55625
28,Twisted,No fiber,1,2760,0,50.8,25.4,177.8,5.55625
28,Twisted,No fiber,2,2760,0,50.8,25.4,177.8,3.865217391
56,Hooked,No fiber,0.789473684,2300,0,50.8,25.4,177.8,35.56
56,Hooked,No fiber,1.578947368,2300,0,50.8,25.4,177.8,11.1125
56,Twisted,No fiber,1,2760,0,50.8,25.4,177.8,10.45882353
