Matrix strength (MPa),Fiber type 1,Fiber type 2,Fiber index,Tensile strength of fiber 1 (MPa),Tensile strength of fiber 2 (MPa),Width of specimen (mm),Thickness of specimen (mm),Gauge length (mm),Strain capacity (%)
200,Hooked,No fiber,0.8,1891,0,50,100,175,0.272
200,Twisted,No fiber,1,2428,0,50,100,175,0.303
190.2,Smooth,No fiber,2,2580,0,30,13,80,0.803
190.2,Hooked,No fiber,1.6,2900,0,30,13,80,0.741
190.2,Twisted,No fiber,2,2428,0,30,13,80,0.79
76,Hooked,No fiber,1.6,2311,0,50,25,175,0.451
89,Hooked,No fiber,1.6,2311,0,50,25,175,0.403
103,Hooked,No fiber,1.6,2311,0,50,25,175,0.422
120,Hooked,No fiber,1.6,2311,0,50,25,175,0.546
76,Twisted,No fiber,2,2428,0,50,25,175,0.411
89,Twisted,No fiber,2,2428,0,50,25,175,0.414
103,Twisted,No fiber,2,2428,0,50,25,175,0.503
120,Twisted,No fiber,2,2428,0,50,25,175,0.532
150,Twisted,No fiber,0.833333333,2670,0,25,25,76,0.19
150,Twisted,No fiber,1.666666667,2670,0,25,25,76,0.42
150,Twisted,No fiber,2.5,2670,0,25,25,76,0.48
150,Smooth,No fiber,1.25,2860,0,25,25,76,0.33
150,Smooth,No fiber,2.5,2860,0,25,25,76,0.55
150,Smooth,No fiber,1.25,1850,0,25,25,76,0.27
150,Smooth,No fiber,1.875,1850,0,25,25,76,0.24
150,Smooth,No fiber,1.2,2330,0,25,25,76,0.17
150,Twisted,No fiber,1.2,2330,0,25,25,76,0.27
89,Twisted,No fiber,0.5,2428,0,50,25,100,0.36
89,Twisted,No fiber,1,2428,0,50,25,100,0.42
89,Twisted,No fiber,1,2428,0,50,25,100,0.58
89,Twisted,No fiber,1,2428,0,50,25,100,0.58
89,Twisted,No fiber,1.5,2428,0,50,25,100,0.54
89,Twisted,No fiber,1.5,2428,0,50,25,100,0.48
89,Twisted,No fiber,1.5,2428,0,50,25,100,0.47
89,Twisted,No fiber,2,2428,0,50,25,100,0.57
89,Twisted,No fiber,2,2428,0,50,25,100,0.54
89,Twisted,No fiber,2,2428,0,50,25,100,0.55
28,Hooked,No fiber,0.789473684,2300,0,50.8,25.4,177.8,0.372
28,Hooked,No fiber,1.578947368,2300,0,50.8,25.4,177.8,0.443
28,Twisted,No fiber,1,2760,0,50.8,25.4,177.8,0.351
28,Twisted,No fiber,2,2760,0,50.8,25.4,177.8,0.331
56,Hooked,No fiber,0.789473684,2300,0,50.8,25.4,177.8,0.386
56,Hooked,No fiber,1.578947368,2300,0,50.8,25.4,177.8,0.483
56,Twisted,No fiber,1,2760,0,50.8,25.4,177.8,0.397
56,Twisted,No fiber,1,2760,0,50.8,25.4,177.8,0.523
84,Twisted,No fiber,2,2760,0,50.8,25.4,177.8,0.301
84,Hooked,No fiber,0.789473684,2300,0,50.8,25.4,177.8,0.387
60.96,Hooked,No fiber,1.2,1140,0,50,25,100,0.33
81,Hooked,No fiber,0.8,2311,0,50,25,100,0.5
81,Twisted,No fiber,1,2428,0,50,25,100,0.4
180,Twisted,No fiber,1.5,2428,0,50,25,100,0.45
180,Twisted,No fiber,1.5,2428,0,50,25,100,0.58
180,Twisted,No fiber,1.5,2428,0,50,25,100,0.64
180,Twisted,No fiber,1.5,2428,0,50,25,100,0.43
180,Twisted,No fiber,1.5,2428,0,50,25,100,0.54
180,Twisted,No fiber,1.5,2428,0,50,25,100,0.64
180,Twisted,No fiber,1.5,2428,0,25,25,100,0.59
180,Twisted,No fiber,1.5,2428,0,25,25,100,0.73
180,Twisted,No fiber,1.5,2428,0,25,25,100,0.6
